mesh_code,resource_name,download_url,system,bounds_wgs84,available_in_ckan
07HD1,fr_mesh20m_07HD1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/49cae021-9946-4db0-ab5b-d0202a80a0b8/download/fr_mesh20m_07hd1_2025.7z,第7系 (VII),"[136.7184, 36.6751, 136.9429, 36.8109]",Yes
07HD3,fr_mesh20m_07HD3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/31bbfc73-79a7-426a-a737-5bc1886d02f2/download/fr_mesh20m_07hd3_2025.7z,第7系 (VII),"[136.7191, 36.5399, 136.9433, 36.6757]",Yes
07IB4,fr_mesh20m_07IB4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/bf68b292-52f4-4ec5-aa18-87f0187a1063/download/fr_mesh20m_07ib4_2025.7z,第7系 (VII),"[136.0518, 36.2652, 136.2763, 36.4023]",Yes
07IC1,fr_mesh20m_07IC1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/bc1741b5-72a1-4b00-b369-d8197dd3ada9/download/fr_mesh20m_07ic1_2025.7z,第7系 (VII),"[136.2732, 36.4023, 136.4977, 36.5389]",Yes
07IC2,fr_mesh20m_07IC2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/c8fdebc7-d40d-44b7-8529-e243cb79a651/download/fr_mesh20m_07ic2_2025.7z,第7系 (VII),"[136.4966, 36.4037, 136.7207, 36.5399]",Yes
07IC3,fr_mesh20m_07IC3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/84a3b71f-3416-4c8d-99e0-509cd9495e44/download/fr_mesh20m_07ic3_2025.7z,第7系 (VII),"[136.2748, 36.2671, 136.4989, 36.4037]",Yes
07IC4,fr_mesh20m_07IC4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/59bd704a-24a7-4613-acd2-88a06e595bf0/download/fr_mesh20m_07ic4_2025.7z,第7系 (VII),"[136.4977, 36.2685, 136.7215, 36.4047]",Yes
07ID1,fr_mesh20m_07ID1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/985b5da3-07eb-4455-b2cb-1b576869271a/download/fr_mesh20m_07id1_2025.7z,第7系 (VII),"[136.7199, 36.4047, 136.9437, 36.5406]",Yes
07ID3,fr_mesh20m_07ID3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/7b94c48c-2439-4d0d-87f9-ddff92e86cca/download/fr_mesh20m_07id3_2025.7z,第7系 (VII),"[136.7207, 36.2696, 136.9441, 36.4054]",Yes
07JB2,fr_mesh20m_07JB2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/bb6a2838-0460-44e0-8633-337eb4fa34f3/download/fr_mesh20m_07jb2_2025.7z,第7系 (VII),"[136.0537, 36.13, 136.2778, 36.2671]",Yes
07JC1,fr_mesh20m_07JC1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/571edab6-00cd-4d18-9f21-57e2d3832988/download/fr_mesh20m_07jc1_2025.7z,第7系 (VII),"[136.2763, 36.1319, 136.5, 36.2685]",Yes
07JC2,fr_mesh20m_07JC2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/812f6202-a868-482b-a838-444af37ab4de/download/fr_mesh20m_07jc2_2025.7z,第7系 (VII),"[136.4989, 36.1333, 136.7222, 36.2696]",Yes
07JC4,fr_mesh20m_07JC4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/affab22e-4c88-4229-a44d-fc2508eb769b/download/fr_mesh20m_07jc4_2025.7z,第7系 (VII),"[136.5, 35.9982, 136.723, 36.1344]",Yes
07JD1,fr_mesh20m_07JD1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/4ba05097-c253-468e-8286-4bb31d6a8b3e/download/fr_mesh20m_07jd1_2025.7z,第7系 (VII),"[136.7215, 36.1344, 136.9444, 36.2702]",Yes
07JD3,fr_mesh20m_07JD3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/3f25209e-d6f7-41ae-93fb-b8251a41864f/download/fr_mesh20m_07jd3_2025.7z,第7系 (VII),"[136.7222, 35.9992, 136.9448, 36.135]",Yes
